SRRL BMS Dew Point Temperature,SRRL BMS Diffuse Horizontal Irradiance,SRRL BMS Direct Normal Irradiance,SRRL BMS Dry Bulb Temperature,SRRL BMS Global Horizontal Irradiance,SRRL BMS Relative Humidity,SRRL BMS Wind Speed at 19',day_of_week,weekend,hour,minute,usage
16.50250755,-1.144863009,0.665482104,53.34799957,-1.918504,21.13999939,6.907860279,2,0,0,47,99.21
16.4580494,-1.111794949,0.556300879,53.27600098,-1.876721978,21.14999962,6.543229103,2,0,0,48,98.09
16.58944729,-1.08584702,0.410727888,53.25799942,-1.836086035,21.29999924,6.460459709,2,0,0,49,96.97
16.41334272,-1.073251963,0.410728395,53.29399872,-1.801570058,21.09000015,7.997279644,2,0,0,50,95.85
16.57767078,-1.093245983,0.405529886,53.20399857,-1.796573043,21.32999992,6.572309971,2,0,0,51,97.48
16.61298825,-1.116914034,0.3587372,53.06000137,-1.813065052,21.47999954,4.753627777,2,0,0,52,99.11
16.68386876,-1.149363995,0.265153289,52.95199966,-1.883332014,21.63999939,5.230109215,2,0,0,53,100.74
16.69585235,-1.172845006,0.218361303,52.88000107,-1.905166984,21.70999908,5.033253193,2,0,0,54,102.37
16.66043433,-1.223268986,0.093583703,52.80799866,-1.944211006,21.72999954,5.565659523,2,0,0,55,104
16.80566446,-1.271885037,-0.285949796,52.98799896,-1.894304037,21.73999977,5.621584415,2,0,0,56,103.81
16.60874011,-1.328531027,-0.426324904,53.52799988,-1.839295983,21.11000061,4.753627777,2,0,0,57,103.62
16.93585659,-1.394924998,-0.363936812,53.74399948,-1.797312021,21.28000069,3.746977329,2,0,0,58,103.43
17.19748347,-1.447731972,-0.384732693,53.79800034,-1.793786049,21.51000023,4.838634014,2,0,0,59,103.24
17.35807283,-1.480409026,-0.233958796,53.83399963,-1.814754963,21.64999962,6.740085125,2,0,1,0,103.05
17.57750076,-1.49991703,-0.405528009,53.92399979,-1.801468015,21.80999947,6.404534817,2,0,1,1,103.03
17.61562922,-1.507236004,-0.613490522,54.17599869,-1.745411038,21.64999962,5.145102978,2,0,1,2,103.01
17.61159264,-1.512876987,-0.410726607,54.15800095,-1.768767953,21.65999985,4.055683613,2,0,1,3,102.99
17.29290226,-1.507312059,-0.01559726,53.79800034,-1.867380977,21.61000061,4.726783752,2,0,1,4,102.97
16.98506677,-1.476163983,0.249556601,53.40200043,-1.930389047,21.60000038,3.49643302,2,0,1,5,102.95
16.97090006,-1.445994973,0.332742512,53.13199997,-1.971508026,21.79999924,4.082527637,2,0,1,6,101.77
16.96237856,-1.405089021,0.213163495,52.93399811,-1.956272006,21.95000076,3.943833351,2,0,1,7,100.59
16.8161956,-1.369387984,0.207963899,52.79000092,-1.954494953,21.90999985,2.836517811,2,0,1,8,99.41
16.68628038,-1.348039031,0.218361899,52.55599976,-2.002243042,21.95999908,0,2,0,1,9,98.23
16.66141752,-1.334563971,0.181968004,52.41199875,-1.995211005,22.04999924,0,2,0,1,10,97.05
16.64915293,-1.337427974,0.088384338,52.3219986,-1.99079597,22.11000061,3.831983328,2,0,1,11,98.29
16.8023568,-1.33445406,0.114379801,52.26800156,-1.932211041,22.31999969,4.753627777,2,0,1,12,99.53
16.78045297,-1.327463984,0.051990919,52.14199829,-1.930433035,22.39999962,5.062334061,2,0,1,13,100.77
16.72616217,-1.330028057,-0.031194501,52.0340004,-1.939893007,22.43000031,3.608283281,2,0,1,14,102.01
16.7447183,-1.34869802,-0.02079631,51.9620018,-1.951756001,22.51000023,3.999758482,2,0,1,15,103.25
16.69919939,-1.374833941,-0.088384248,51.92599869,-1.995723009,22.48999977,3.914752245,2,0,1,16,103.3
16.61711267,-1.395249963,-0.1507736,51.88999939,-1.987995028,22.43000031,4.055683613,2,0,1,17,103.35
16.61262718,-1.410905004,-0.202764705,51.87200165,-1.958531976,22.44000053,4.950483799,2,0,1,18,103.4
16.87139076,-1.439214945,-0.343140811,51.81800079,-1.945559978,22.77000046,3.970677376,2,0,1,19,103.45
16.95304295,-1.454007983,-0.348340392,51.88999939,-1.886216998,22.79999924,3.579202175,2,0,1,20,103.5
16.83986754,-1.471943021,-0.389933705,52.15999985,-1.884824038,22.45000076,3.16088295,2,0,1,21,102.39
16.73739958,-1.499742985,-0.327544391,52.30400085,-1.913046956,22.21999931,2.37793231,2,0,1,22,101.28
16.85241361,-1.538247943,-0.249556899,52.3219986,-1.908764005,22.32999992,3.216807842,2,0,1,23,100.17
16.843214,-1.548125982,-0.410728395,52.3219986,-1.944694042,22.31999969,4.250302792,2,0,1,24,99.06
16.81631642,-1.530086994,-0.384732604,52.25,-1.941282988,22.35000038,3.635127068,2,0,1,25,97.95
16.44556907,-1.488584995,-0.140375197,52.01599884,-1.942767978,22.13999939,4.529927731,2,0,1,26,99.29
16.22223959,-1.447535992,0.05199074,51.7820015,-1.93838203,22.09000015,6.068984509,2,0,1,27,100.63
15.92578911,-1.422382951,0.041592602,51.47600174,-1.93462503,22.02000046,5.565659523,2,0,1,28,101.97
15.5187069,-1.37321806,0.036393471,51.29600143,-1.921125054,21.72999954,6.740085125,2,0,1,29,103.31
15.40046722,-1.331488967,0.124777503,51.15200043,-1.901170015,21.71999931,5.901209354,2,0,1,30,104.65
15.42851344,-1.299131036,0.270351112,50.95399857,-1.912722945,21.90999985,4.614933968,2,0,1,31,104.64
15.40959758,-1.251863956,0.358734995,50.68399811,-1.963086963,22.11000061,5.256953239,2,0,1,32,104.63
15.31488831,-1.223080993,0.384731591,50.48600006,-1.969328046,22.17000008,5.089178085,2,0,1,33,104.62
15.29709657,-1.209285975,0.280750513,50.41400146,-1.950988054,22.20999908,4.977327824,2,0,1,34,104.61
15.30203804,-1.202250957,0.202764601,50.36000061,-1.949161053,22.26000023,5.174184322,2,0,1,35,104.6
15.48872686,-1.207805991,0.223561406,50.23400116,-1.945675015,22.56999969,4.782708645,2,0,1,36,104.01
15.64063531,-1.219176054,0.197566107,50.12599945,-1.912219048,22.82999992,4.447158813,2,0,1,37,103.42
15.80115581,-1.238198042,0.036393791,50.12599945,-1.912621021,23.01000023,4.67085886,2,0,1,38,102.83
15.95368487,-1.267423987,-0.06758856,50.0359993,-1.870622993,23.26000023,4.055683613,2,0,1,39,102.24
16.06275903,-1.300832987,-0.192368001,49.89199829,-1.860828042,23.51000023,4.80955267,2,0,1,40,101.7580017
15.97786831,-1.34663403,-0.358741194,49.9640007,-1.782361984,23.35000038,4.529927731,2,0,1,41,100.7459993
16.07102554,-1.40040195,-0.587503672,50.30599976,-1.738819003,23.15999985,3.88790822,2,0,1,42,99.77
16.09047208,-1.466598988,-0.722679794,50.61199951,-1.724936008,22.92000008,4.418077469,2,0,1,43,98.83
16.02581754,-1.520431042,-0.821462214,50.88199997,-1.709769011,22.62000084,5.006409168,2,0,1,44,97.89
16.03072263,-1.550675035,-0.82146281,51.00799942,-1.760710001,22.52000046,4.726783752,2,0,1,45,96.95
16.08059583,-1.552734971,-0.597897172,50.99000168,-1.813714981,22.59000015,4.474002838,2,0,1,46,97.32
16.08929907,-1.535833955,-0.473117501,50.91799927,-1.851451993,22.65999985,5.704353333,2,0,1,47,97.69
16.09574489,-1.519585967,-0.2963489,50.66600037,-1.931455016,22.87999916,5.453809261,2,0,1,48,98.06
16.62880515,-1.518219948,-0.421128005,50.61199951,-1.943542957,23.53000069,3.870012283,2,0,1,49,98.43
16.73366229,-1.525580049,-0.530309081,51.22399902,-1.826967955,23.12000084,4.391233444,2,0,1,50,98.8
16.37047685,-1.517205,-0.571900904,51.74599838,-1.768869996,22.28000069,5.816203594,2,0,1,51,99.71
16.28835971,-1.530316949,-0.566702724,51.67399979,-1.808591008,22.25,5.957134724,2,0,1,52,100.62
16.81878958,-1.578176022,-0.613494277,51.51200104,-1.797294021,22.96999931,3.970677376,2,0,1,53,101.53
17.07205329,-1.600586057,-0.51990962,51.72800064,-1.792984962,23.06999969,6.013059616,2,0,1,54,102.44
16.81745919,-1.607650995,-0.629089415,51.88999939,-1.767313957,22.64999962,4.641777992,2,0,1,55,103.35
16.7621131,-1.607339978,-0.696678102,52.14199829,-1.751309991,22.37999916,7.046554089,2,0,1,56,101.73
16.71253093,-1.598073959,-0.597896218,52.01599884,-1.820508003,22.43000031,5.118258953,2,0,1,57,100.11
16.83110407,-1.59583199,-0.665485799,51.90800095,-1.855381966,22.64999962,3.831983328,2,0,1,58,98.49
17.62117242,-1.598181009,-0.649889112,51.9620018,-1.868579984,23.48999977,4.111608505,2,0,1,59,96.87
17.68682436,-1.602553964,-0.540708184,52.5379982,-1.875018001,23.06999969,3.802902222,2,0,2,0,95.25
